NUTS3;Number of heating days;Average temperature during heating period;Number SFH;Number MFH;Appartment per SFH;Appartment per MFH;SHD_SFH;SHD_MFH;HWD_SFH;HWD_MFH;OTH_SFH;OTH_MFH
DEF01;215;5,010445736;11948;4839;1,087211249;6,817007646;18362,18974;62346,05092;1370,29976;6817,007646;5481,199041;20451,02294
DEF02;218;4,814908257;24553;12439;1,096159329;7,74592009;19306,41569;74862,00924;1381,577745;7745,92009;5526,310981;23237,76027
DEF03;218;4,814908257;32670;11024;1,129476584;6,720972424;20100,28957;65310,6374;1423,570161;6720,972424;5694,280644;20162,91727
DEF04;215;5,010445736;15579;3612;1,095192246;6,523117386;19127,89241;61472,84343;1380,358853;6523,117386;5521,435412;19569,35216
DEF05;205;5,579898374;47470;3450;1,103518011;5,38942029;18039,64895;48136,82887;1390,852485;5389,42029;5563,409938;16168,26087
DEF06;215;5,010445736;50236;5495;1,124990047;5,960509554;18548,86043;53235,69871;1417,915418;5960,509554;5671,66167;17881,52866
DEF07;205;5,579898374;57279;6661;1,138008694;5,362408047;18124,70031;46531,45005;1434,323866;5362,408047;5737,295462;16087,22414
DEF08;215;5,010445736;56628;8031;1,139348026;6,045884697;19032,27815;54474,67573;1436,011933;6045,884697;5744,047731;18137,65409
DEF09;205;5,579898374;70156;9193;1,112321113;6,510007614;17412,36867;54810,96973;1401,947741;6510,007614;5607,790965;19530,02284
DEF0A;218;4,814908257;37346;3743;1,129224013;5,777451242;19150,09211;52911,09434;1423,251826;5777,451242;5693,007303;17332,35373
DEF0B;218;4,814908257;79012;6804;1,124297575;5,102586714;18973,16416;46998,66032;1417,04264;5102,586714;5668,170558;15307,76014
DEF0C;215;5,010445736;60688;4651;1,139269707;4,958181036;18996,26372;45501,76846;1435,913222;4958,181036;5743,652887;14874,54311
DEF0D;215;5,010445736;66190;6951;1,106224505;6,494461229;17903,98996;56480,75497;1394,263696;6494,461229;5577,054785;19483,38369
DEF0E;205;5,579898374;38334;3869;1,115876246;5,051046782;18208,15899;45238,55239;1406,428561;5051,046782;5625,714244;15153,14035
DEF0F;215;5,010445736;58508;6317;1,115129555;6,283441507;18066,40336;54779,26746;1405,487447;6283,441507;5621,949786;18850,32452
DE600;215;5,010445736;164839;81669;1,124636767;7,916430959;19355,64692;73141,11524;1417,47015;7916,430959;5669,880601;23749,29288
DE911;215;5,010445736;28683;13440;1,152424781;7,209337798;20033,74395;67675,88248;1452,493619;7209,337798;5809,974477;21628,01339
DE912;215;5,010445736;17660;5748;1,154020385;5,816457898;19966,63223;54902,19088;1454,504687;5816,457898;5818,018748;17449,3737
DE913;215;5,010445736;20842;5399;1,152240668;6,79486942;18861,79112;58662,74669;1452,261566;6794,86942;5809,046265;20384,60826
DE914;215;5,010445736;50035;3444;1,166663336;4,913327526;18647,10848;42907,2435;1470,439614;4913,327526;5881,758457;14739,98258
DE91C;201;4,648984245;47494;11274;1,246768013;6,010777009;20130,16;52858,80286;1571,40198;6010,777009;6285,607921;18032,33103
DE916;215;5,010445736;32216;7620;1,264402781;5,515223097;22621,8855;54146,62335;1593,628497;5515,223097;6374,513987;16545,66929
DE917;215;5,010445736;25372;3542;1,173143623;5,340767928;20326,23675;50514,69851;1478,607241;5340,767928;5914,428965;16022,30378
DE918;201;4,648984245;35659;4878;1,276311731;4,944649446;21120,7473;45241,12025;1608,638303;4944,649446;6434,553213;14833,94834
DE91C;215;5,010445736;20604;2719;1,286788973;4,070981979;22988,95079;39895,5886;1621,843614;4070,981979;6487,374458;12212,94594
DE91A;215;5,010445736;36108;3674;1,185665227;5,301578661;19887,45742;48769,37939;1494,389225;5301,578661;5977,556901;15904,73598
DE91B;215;5,010445736;30811;4233;1,167407744;5,603590834;19934,37236;52191,44529;1471,377852;5603,590834;5885,511408;16810,7725
DE929;215;5,010445736;175865;49956;1,180280329;7,14086396;19788,25717;64237,61541;1487,602206;7140,86396;5950,408822;21422,59188
DE922;215;5,010445736;63119;4765;1,164926567;5,213850997;19351,20171;47155,94666;1468,250625;5213,850997;5873,002502;15641,55299
DE923;215;5,010445736;35312;6936;1,257589488;5,544910611;21931,26251;52563,66528;1585,041156;5544,910611;6340,164622;16634,73183
DE925;215;5,010445736;62784;11260;1,218399592;5,96598579;20967,65098;55998,60599;1535,646979;5965,98579;6142,587914;17897,95737
DE926;201;4,648984245;20079;2785;1,28343045;4,773608618;21437,938;43890,87835;1617,610597;4773,608618;6470,44239;14320,82585
DE927;215;5,010445736;34305;3225;1,202448623;4,916899225;20537,49321;46089,88075;1515,542689;4916,899225;6062,170756;14750,69767
DE928;215;5,010445736;39231;5715;1,295888456;4,948818898;22067,97994;46084,9729;1633,312424;4948,818898;6533,249696;14846,45669
DE931;215;5,010445736;51804;4960;1,154601961;4,890625;19494,74246;44747,18653;1455,237694;4890,625;5820,950777;14671,875
DE932;205;5,579898374;61595;5534;1,140595828;5,657661728;18271,24522;49322,20016;1437,584638;5657,661728;5750,338551;16972,98518
DE933;215;5,010445736;70677;6004;1,138078866;5,748834111;18299,34141;49803,01362;1434,412308;5748,834111;5737,649234;17246,50233
DE934;215;5,010445736;17617;1269;1,151841971;5,161938534;20058,09364;49633,22537;1451,759056;5161,938534;5807,036225;15485,8156
DE935;215;5,010445736;43445;5774;1,15918978;5,844302044;18876,7605;51782,36446;1461,020091;5844,302044;5844,080365;17532,90613
DE936;215;5,010445736;34739;2211;1,14675149;5,31049299;18775,54892;46849,15023;1445,343114;5310,49299;5781,372455;15931,47897
DE937;215;5,010445736;50862;3002;1,153002241;5,223684211;18852,47957;46440,75861;1453,221439;5223,684211;5812,885754;15671,05263
DE938;205;4,195670732;39174;4169;1,185582274;5,207723675;18957,59631;45216,61084;1494,284673;5207,723675;5977,138694;15623,17102
DE939;205;5,579898374;55659;5066;1,122855244;5,80704698;17514,40112;49112,21357;1415,224753;5807,04698;5660,899012;17421,14094
DE93A;205;4,195670732;27428;3095;1,178284964;5,388852989;19412,63548;48233,368;1485,087287;5388,852989;5940,349149;16166,55897
DE93B;215;5,010445736;37938;3296;1,171674838;5,03595267;19279,47432;45230,71499;1476,756014;5035,95267;5907,024054;15107,85801
DE941;215;5,010445736;18717;2458;1,15595448;5,329332791;19552,13795;49194,05331;1456,942382;5329,332791;5827,769529;15987,99837
DE942;205;5,579898374;13038;2067;1,087206627;5,592404451;17699,30051;49124,22412;1370,293935;5592,404451;5481,17574;16777,21335
DE943;215;5,010445736;35737;7140;1,151775471;5,971358543;19039,50483;53572,42756;1451,675241;5971,358543;5806,700964;17914,07563
DE944;197;5,509581218;21940;9905;1,252871468;5,90681474;19707,66119;50140,74712;1579,094655;5906,81474;6316,37862;17720,44422
DE945;205;5,579898374;12232;5374;1,130150425;5,77800521;18742,29247;53237,8795;1424,419457;5778,00521;5697,677828;17334,01563
DE946;205;5,579898374;38654;1640;1,124670151;3,479573171;16959,29913;28443,74687;1417,512226;3479,573171;5670,048906;10438,71951
DE947;205;5,579898374;70035;3593;1,103134147;4,735875313;17050,90917;39674,48908;1390,36867;4735,875313;5561,474679;14207,62594
DE948;205;5,579898374;43854;2183;1,151343093;4,94365552;16927,72871;39400,37061;1451,130281;4943,65552;5804,521122;14830,96656
DE949;197;5,509581218;90466;4939;1,131231623;5,205405953;16107,39003;40034,14596;1425,782178;5205,405953;5703,128711;15616,21786
DE94A;197;5,509581218;34833;2512;1,119053771;5,092754777;17187,40171;42610,39965;1410,433451;5092,754777;5641,733806;15278,26433
DE94B;197;5,509581218;40778;1212;1,12143803;2,66790429;16560,42006;21340,44929;1413,438525;2667,90429;5653,754101;8003,712871
DE94C;205;5,579898374;57191;2883;1,106957388;5,122788762;17147,52551;42921,56113;1395,187408;5122,788762;5580,749632;15368,36629
DE94D;205;5,579898374;39906;2060;1,145291435;4,810194175;17480,0395;39920,96118;1443,502889;4810,194175;5774,011557;14430,58252
DE94E;205;5,579898374;85417;9539;1,268037978;5,166159975;19665,11142;43565,5168;1598,210228;5166,159975;6392,840912;15498,47992
DE94F;205;5,579898374;36281;2022;1,149196549;5,402571711;16954,17519;43058,16885;1448,424819;5402,571711;5793,699275;16207,71513
DE94G;205;5,579898374;28667;2816;1,117033523;5,148615057;18187,3651;46215,34665;1407,88717;5148,615057;5631,548682;15445,84517
DE94H;205;5,579898374;20660;1675;1,139206196;5,053134328;17857,51788;43062,39111;1435,833173;5053,134328;5743,332691;15159,40299
DE501;215;5,010445736;90708;27833;1,14013097;6,334926167;20114,58762;60965,51998;1436,99874;6334,926167;5747,99496;19004,7785
DE502;205;5,579898374;15498;5828;1,107304168;7,52865477;18493,25797;67726,87663;1395,624483;7528,65477;5582,49793;22585,96431
DEA11;197;5,509581218;35437;36554;1,214154697;7,530201893;19348,61058;64813,50507;1530,296796;7530,201893;6121,187183;22590,60568
DEA12;197;5,509581218;47855;32893;1,212997597;6,10529596;19537,17903;53961,55701;1528,838409;6105,29596;6115,353638;18315,88788
DEA13;197;5,509581218;48171;40897;1,235743497;6,159241509;20170,36289;54780,23665;1557,506897;6159,241509;6230,027586;18477,72453
DEA14;197;5,509581218;33069;13354;1,16005927;6,067470421;18236,53509;52036,40756;1462,115979;6067,470421;5848,463917;18202,41126
DEA15;197;5,509581218;40480;15142;1,183917984;5,855402193;18636,37599;50353,60309;1492,187035;5855,402193;5968,748141;17566,20658
DEA16;197;5,509581218;20031;11149;1,253357296;5,862229796;20120,2793;51135,12289;1579,706984;5862,229796;6318,827935;17586,68939
DEA17;197;5,509581218;23433;14625;1,280501856;5,640854701;20423,91599;49040,44331;1613,919456;5640,854701;6455,677823;16922,5641
DEA18;238;4,198932073;14146;6716;1,272020359;6,127680167;24977,67748;65585,58168;1603,229543;6127,680167;6412,918171;18383,0405
DEA19;238;4,198932073;22157;10256;1,249086068;5,600672777;24172,34036;59827,78795;1574,323611;5600,672777;6297,294444;16802,01833
DEA1A;238;4,198932073;31667;22720;1,239492216;6,565889085;24377,40235;70245,51981;1562,231708;6565,889085;6248,926833;19697,66725
DEA1B;197;5,509581218;83645;8484;1,147731484;4,879184347;17229,32534;39990,61889;1446,57828;4879,184347;5786,313118;14637,55304
DEA1C;197;5,509581218;74621;22645;1,192184506;6,438661956;18410,03715;53220,46721;1502,605997;6438,661956;6010,423988;19315,98587
DEA1D;197;5,509581218;87589;17926;1,166699015;6,015006136;17771,23638;49164,33773;1470,484583;6015,006136;5881,938334;18045,01841
DEA1E;197;5,509581218;73863;10313;1,151713307;5,540870746;17605,77737;46157,81666;1451,596891;5540,870746;5806,387564;16622,61224
DEA1F;197;5,509581218;94740;18678;1,193497995;5,636497484;18164,89742;46432,54201;1504,261493;5636,497484;6017,04597;16909,49245
DEA22;197;5,509581218;38047;18396;1,181196941;6,113421396;18567,88837;51913,67812;1488,757485;6113,421396;5955,029941;18340,26419
DEA23;197;5,509581218;80344;57381;1,168400876;7,181392796;18424,01992;60801,10027;1472,629576;7181,392796;5890,518305;21544,17839
DEA24;197;5,509581218;21284;8719;1,182437512;6,328707421;18526,37292;53672,14985;1490,321077;6328,707421;5961,284307;18986,12226
DEA2D;197;5,509581218;94053;26876;1,190924266;6,082080667;18677,96719;51780,04845;1501,017616;6082,080667;6004,070463;18246,242
DEA26;197;5,509581218;66707;8814;1,135577975;5,421658725;17379,14976;44839,82254;1431,260235;5421,658725;5725,04094;16264,97617
DEA27;197;5,509581218;102630;16458;1,13923804;5,878934257;17365,37466;48030,22548;1435,873308;5878,934257;5743,493233;17636,80277
DEA28;197;5,509581218;55664;5102;1,145246479;5,268326147;17375,44462;43361,75995;1443,446228;5268,326147;5773,78491;15804,97844
DEA29;197;5,509581218;74455;5868;1,119347257;5,399284254;16858,10604;44082,83442;1410,803355;5399,284254;5643,213421;16197,85276
DEA2A;238;4,198932073;65517;9011;1,264465711;5,40877816;23668,34469;54860,71441;1593,707813;5408,77816;6374,83125;16226,33448
DEA2B;197;5,509581218;61909;10903;1,208128059;5,673255067;18453,1799;46584,87793;1522,700939;5673,255067;6090,803757;17019,7652
DEA2C;197;5,509581218;144621;19490;1,159271475;5,477783479;17400,88954;44292,49081;1461,123058;5477,783479;5844,492232;16433,35044
DEA31;197;5,509581218;16818;6928;1,322392675;5,425952656;20722,63211;46509,92079;1666,717822;5425,952656;6666,871289;16277,85797
DEA32;197;5,509581218;19028;18829;1,247056969;6,114796325;20287,09905;54431,6468;1571,766174;6114,796325;6287,064698;18344,38897
DEA33;197;5,509581218;39183;15501;1,180052574;6,555028708;17819,39338;52747,11857;1487,315148;6555,028708;5949,260591;19665,08612
DEA34;197;5,509581218;91919;8671;1,197380302;5,260638911;17565,10676;41739,39558;1509,154677;5260,638911;6036,618709;15781,91673
DEA35;197;5,509581218;53364;5775;1,226463533;5,172554113;17855,14002;40760,77162;1545,810612;5172,554113;6183,242449;15517,66234
DEA36;197;5,509581218;102127;34243;1,248151811;5,55163099;19470,43997;47112,49748;1573,146092;5551,63099;6292,584369;16654,89297
DEA37;197;5,509581218;111696;10303;1,212944062;5,307677376;17876,14581;42412,4316;1528,770936;5307,677376;6115,083743;15923,03213
DEA38;197;5,509581218;64472;8864;1,224345452;5,177967058;18508,64622;42423,22695;1543,141024;5177,967058;6172,564096;15533,90117
DEA41;238;4,198932073;42881;18789;1,268417248;5,855420725;24027,34111;60097,95229;1598,688252;5855,420725;6394,753007;17566,26217
DEA42;238;4,198932073;75434;13018;1,256873558;5,125864188;22647,68029;49890,63721;1584,138812;5125,864188;6336,555247;15377,59256
DEA43;238;4,198932073;56869;8875;1,338022473;5,308;25155,85872;54776,73434;1686,417314;5308;6745,669255;15924
DEA44;238;4,198932073;37728;4096;1,250450594;4,811279297;23710,54059;49843,88571;1576,043433;4811,279297;6304,173732;14433,83789
DEA45;238;4,198932073;78013;14249;1,29504057;5,184890168;24580,18127;53506,80468;1632,243766;5184,890168;6528,975063;15554,6705
DEA46;197;5,509581218;73868;9280;1,270022202;4,981142241;19753,32703;42495,87071;1600,711104;4981,142241;6402,844418;14943,42672
DEA47;197;5,509581218;60001;11426;1,257979034;5,533738841;18350,70114;43619,92697;1585,532131;5533,738841;6342,128525;16601,21652
DEA51;197;5,509581218;33182;25270;1,279036827;6,031519588;20606,34361;52558,84712;1612,072962;6031,519588;6448,291847;18094,55877
DEA52;197;5,509581218;57172;37110;1,227838802;6,337092428;19567,63387;54476,50403;1547,543974;6337,092428;6190,175896;19011,27728
DEA53;197;5,509581218;17937;12357;1,275185371;6,387108521;20500,06903;55616,57488;1607,218662;6387,108521;6428,874647;19161,32556
DEA54;197;5,509581218;30033;8604;1,228248926;5,682763831;19298,28124;48833,66177;1548,060886;5682,763831;6192,243545;17048,29149
DEA55;197;5,509581218;13612;10968;1,272112842;6,047273888;20645,14109;54043,05259;1603,346106;6047,273888;6413,384424;18141,82166
DEA56;238;4,198932073;44945;19929;1,299566136;5,798635155;24805,70168;60222,12886;1637,947701;5798,635155;6551,790803;17395,90546
DEA57;238;4,198932073;62125;10533;1,316394366;5,228852179;24904,81232;53691,33338;1659,157672;5228,852179;6636,630688;15686,55654
DEA58;238;4,198932073;72928;21817;1,318300241;5,500893798;25124,77329;56925,62006;1661,5598;5500,893798;6646,239199;16502,6814
DEA59;238;4,198932073;32244;4251;1,337861308;4,972124206;24753,07419;49821,69127;1686,214184;4972,124206;6744,856738;14916,37262
DEA5A;238;4,198932073;66218;9363;1,3188559;5,442699989;25315,70352;56629,06895;1662,260141;5442,699989;6649,040565;16328,09997
DEA5B;238;4,198932073;69090;10732;1,248429585;5,235184495;23049,91793;52418,76219;1573,496193;5235,184495;6293,984771;15705,55348
DEA5C;197;5,509581218;73396;19363;1,239713336;5,509735062;19156,34628;46234,15433;1562,510404;5509,735062;6250,041614;16529,20519
DE711;180;5,719675926;15583;7986;1,231277674;6,628224393;17974,16848;52236,23621;1551,878261;6628,224393;6207,513044;19884,67318
DE712;180;5,719675926;38275;39177;1,213690398;7,264747173;17937,7312;58573,33793;1529,711603;7264,747173;6118,846412;21794,24152
DE713;238;4,198932073;7735;6081;1,284421461;7,173737872;25503,66628;77289,27723;1618,859649;7173,737872;6475,438594;21521,21362
DE714;180;5,719675926;25198;14685;1,227200571;7,082601294;17825,99571;55643,81567;1546,73956;7082,601294;6186,958242;21247,80388
DE715;180;5,719675926;59144;9622;1,295718923;5,360787778;18262,85364;40778,45344;1633,098749;5360,787778;6532,394995;16082,36333
DE716;238;4,198932073;64629;10240;1,267341286;5,353955078;23535,31696;53704,11755;1597,332131;5353,955078;6389,328525;16061,86523
DE717;238;4,198932073;45735;10125;1,267825517;5,993333333;23920,34962;60846,92208;1597,942445;5993,333333;6391,769782;17980
DE718;233;3,723444206;45051;9029;1,195223191;6,067006313;21798,15415;59557,15279;1506,435897;6067,006313;6025,743588;18201,01894
DE719;238;4,198932073;84329;15539;1,281718033;5,709279876;24041,04692;57728,89598;1615,452301;5709,279876;6461,809204;17127,83963
DE71A;238;4,198932073;41976;9103;1,203806937;6,156541799;22510,64718;61385,74469;1517,254682;6156,541799;6069,018729;18469,6254
DE71B;238;4,198932073;25079;3054;1,293990988;5,057629339;24272,38852;51519,59716;1630,920894;5057,629339;6523,683575;15172,88802
DE71C;201;4,648984245;55517;14909;1,255957635;5,977765108;19956,62874;50889,80447;1582,984399;5977,765108;6331,937598;17933,29532
DE71D;201;4,648984245;41664;7248;1,251464094;5,485789183;19706,10268;46765,69397;1577,320829;5485,789183;6309,283314;16457,36755
DE71E;233;3,723444206;67367;10733;1,256535099;5,469766142;23035,4711;54260,16126;1583,712224;5469,766142;6334,848896;16409,29843
DE721;233;3,723444206;52454;9892;1,291646014;5,827183583;23983,7775;58529,89366;1627,965333;5827,183583;6511,861333;17481,55075
DE722;233;3,723444206;66528;7218;1,251202501;5,329246329;23511,88953;54264,68646;1576,991122;5329,246329;6307,96449;15987,73899
DE723;233;3,723444206;46334;4822;1,2418958;4,8973455;22962,33355;49581,8397;1565,261139;4897,3455;6261,044555;14692,0365
DE724;201;4,648984245;53698;8202;1,278632351;5,613630822;20489,47157;48899,73726;1611,563168;5613,630822;6446,252673;16840,89247
DE725;201;4,648984245;32048;2874;1,24101348;4,868649965;19994,66441;43082,18447;1564,149079;4868,649965;6256,596318;14605,9499
